Temperature,Appliances,TimeOfDay,PreviousUsage,Consumption
25.5,8,9,5.51,6.14
37.0,10,22,10.24,11.03
32.6,1,7,5.22,4.01
30.0,10,17,7.29,8.48
21.1,9,20,7.47,8.88
21.1,6,0,3.03,4.2
19.2,3,22,4.98,5.34
35.3,8,7,4.68,7.37
30.0,9,5,1.29,7.06
32.2,6,4,1.27,5.23
18.4,7,14,10.15,7.43
37.4,1,21,4.0,5.11
34.6,5,14,6.7,5.97
22.2,5,1,4.29,4.76
21.6,10,0,11.35,8.18
21.7,4,22,3.85,5.47
24.1,6,22,5.73,7.66
28.5,7,10,10.6,7.5
26.6,9,9,10.26,8.05
23.8,1,17,3.05,3.05
30.2,6,17,9.83,6.69
20.8,7,16,6.04,5.17
23.8,3,7,6.31,4.07
25.3,8,14,2.47,6.14
27.1,5,7,1.89,4.83
33.7,9,16,9.01,8.39
22.0,5,11,6.46,5.42
28.3,9,7,5.81,7.1
29.8,10,13,9.02,8.52
18.9,4,3,9.42,5.27
30.2,9,0,2.75,6.92
21.4,5,0,7.71,4.79
19.3,10,18,2.49,7.86
37.0,9,15,9.27,9.05
37.3,3,13,8.23,6.44
34.2,4,20,11.52,8.94
24.1,9,15,1.76,6.4
20.0,10,4,1.63,5.85
31.7,6,8,4.1,5.97
26.8,2,1,3.88,4.45
20.4,7,17,3.72,5.73
27.9,2,5,10.97,5.01
18.7,2,8,3.75,3.35
36.2,1,0,3.99,3.49
23.2,3,8,9.35,4.58
31.3,6,15,5.95,5.79
24.2,8,12,9.54,7.46
28.4,9,8,1.72,6.95
28.9,7,20,6.36,8.34
21.7,4,12,1.37,3.39
37.4,6,8,1.69,5.99
33.5,5,10,10.97,6.69
36.8,8,3,2.53,6.64
35.9,1,1,6.86,4.71
30.0,1,5,5.52,3.5
36.4,6,13,4.82,5.77
19.8,10,3,10.9,7.44
21.9,2,5,1.24,2.15
18.9,5,18,8.3,7.17
24.5,1,5,11.6,4.57
25.8,7,1,7.16,6.55
23.4,1,17,11.31,4.62
34.6,4,12,1.57,5.39
25.1,9,8,5.61,6.8
23.6,1,22,3.86,5.02
28.9,4,18,9.04,6.83
20.8,6,12,11.79,7.11
34.0,6,10,3.82,5.55
19.5,8,0,8.2,6.32
37.7,1,23,3.18,3.77
33.4,7,21,7.22,8.23
22.0,1,6,6.1,3.32
18.1,7,20,11.69,8.6
34.3,3,14,7.69,5.39
32.1,8,0,4.84,6.35
32.6,3,11,2.26,5.26
33.4,1,6,2.66,3.85
19.5,8,14,3.48,6.97
25.2,3,20,3.76,5.48
20.3,2,18,10.36,6.62
35.3,1,0,7.17,4.92
30.5,3,16,6.76,4.88
24.6,2,16,2.26,3.91
19.3,2,2,10.46,4.14
24.2,6,11,8.95,6.08
24.5,1,5,1.74,1.16
32.6,2,10,8.79,5.27
30.8,6,2,6.98,5.82
35.7,3,7,1.9,4.3
27.4,4,13,6.04,4.62
20.4,1,13,6.33,3.06
32.3,8,9,2.82,6.89
33.2,7,1,11.4,7.86
29.2,7,13,10.35,7.67
33.4,3,8,8.36,6.1
27.9,10,2,6.09,7.66
28.5,10,20,5.53,9.36
26.6,3,7,8.16,5.38
18.5,2,15,7.0,4.11
20.2,1,1,1.69,2.7
18.6,7,5,6.64,5.4
30.7,7,20,9.87,9.37
24.3,2,11,6.05,3.98
28.2,7,4,1.57,6.16
36.2,8,1,9.65,7.98
23.0,1,15,3.22,2.12
26.2,9,4,3.84,7.15
33.1,7,14,2.81,5.15
22.6,3,11,4.63,3.66
19.5,8,3,9.32,6.38
23.8,7,14,6.71,5.8
21.2,8,10,3.25,5.54
36.6,6,15,10.66,8.09
34.2,9,22,10.68,10.88
30.7,5,5,10.58,6.5
35.4,3,13,3.63,5.35
34.1,3,17,5.96,4.67
21.7,1,11,11.83,3.78
35.9,8,10,9.49,8.57
28.8,2,12,1.3,3.7
34.1,3,20,1.72,5.98
35.9,8,22,6.1,8.86
24.4,8,10,11.0,8.19
20.2,4,22,6.93,5.69
22.6,4,15,6.48,4.51
26.5,5,14,2.16,4.86
34.4,6,20,8.22,9.54
35.2,5,14,10.04,7.05
18.1,7,3,5.18,5.75
28.2,2,10,9.53,4.62
26.3,7,18,11.61,9.4
22.4,10,14,3.24,6.92
20.4,7,3,6.76,5.28
24.8,1,20,4.16,5.34
36.9,7,12,9.72,8.29
24.5,5,21,7.35,7.69
28.4,3,18,7.98,6.87
32.1,3,1,9.78,5.25
25.3,4,13,5.36,3.75
37.4,2,3,11.07,5.96
37.2,2,15,6.86,5.6
23.0,1,20,2.74,5.03
27.9,5,19,8.65,8.21
24.0,4,13,9.73,5.44
23.7,10,14,4.48,7.69
18.7,2,2,10.43,4.69
30.2,3,7,10.97,5.55
28.1,7,15,4.05,6.43
19.0,7,9,11.82,6.56
23.6,4,3,2.55,4.39
36.2,5,17,3.22,5.14
22.8,5,1,3.03,4.07
20.9,6,16,10.83,6.8
27.8,9,12,8.2,8.17
37.7,2,3,2.67,4.68
22.8,5,10,5.84,5.16
31.4,3,6,7.77,4.18
33.2,4,11,1.92,4.77
22.8,10,9,10.71,8.46
32.6,6,6,9.84,6.84
25.4,8,12,6.56,6.49
30.6,1,6,11.64,5.64
30.7,10,23,5.6,7.94
28.7,8,16,11.83,8.23
19.8,7,9,8.35,6.59
34.7,1,9,7.98,4.21
24.4,2,23,2.83,3.45
21.7,3,3,10.7,5.61
18.8,1,19,5.7,5.6
29.8,9,3,2.78,6.95
31.6,8,21,1.14,8.03
18.3,2,6,7.16,3.77
28.2,9,21,6.8,9.44
22.5,7,0,8.91,7.18
30.9,9,11,10.79,8.02
21.5,6,23,1.87,4.63
31.8,6,12,9.05,6.37
25.7,4,9,3.06,3.95
36.7,10,14,10.44,9.48
20.8,10,12,10.01,8.33
24.8,2,22,6.95,5.64
20.3,7,21,8.81,8.51
36.5,5,21,4.46,8.27
35.5,6,20,6.18,9.32
23.2,2,21,10.04,6.39
31.2,5,8,6.05,5.55
34.3,10,8,4.94,7.68
29.1,4,14,6.44,4.79
28.6,9,9,10.11,8.72
22.8,6,23,4.69,4.69
19.9,2,9,2.91,3.56
35.9,1,7,8.83,4.52
36.0,5,23,10.09,6.64
30.7,9,15,2.11,6.82
24.8,6,16,3.64,5.02
25.0,10,4,2.56,7.38
32.5,7,3,4.83,7.44
35.9,5,17,5.95,5.9
35.7,10,23,9.24,8.82
33.6,6,18,8.16,8.58
30.8,5,3,7.83,6.37
19.7,9,6,4.88,6.44
21.2,6,9,10.26,6.87
36.0,8,17,6.18,8.11
30.1,2,18,11.77,6.69
18.2,9,3,7.98,7.18
20.0,5,9,2.39,4.96
31.3,7,0,8.44,6.95
18.1,10,22,4.58,8.44
21.2,1,17,8.55,3.45
29.0,10,4,1.77,6.91
31.8,5,14,2.92,4.57
31.0,10,16,10.41,8.26
22.5,2,2,3.5,3.36
32.2,6,11,10.21,7.79
22.7,1,1,4.07,2.72
24.5,3,0,8.07,4.47
32.9,5,22,8.64,9.0
31.0,4,20,6.64,6.78
35.0,3,16,4.36,4.19
31.2,10,21,3.34,9.02
29.4,5,15,1.37,4.55
19.9,8,4,4.34,5.19
25.4,4,14,8.18,5.25
23.3,1,2,11.32,4.78
22.9,7,6,10.58,6.31
37.5,8,10,9.43,8.34
25.9,3,9,9.67,5.34
35.8,6,8,8.31,7.02
30.6,2,13,3.86,4.13
33.9,7,12,10.98,7.93
28.1,8,1,8.38,6.99
29.5,6,2,7.16,7.02
27.9,6,6,2.22,5.89
21.9,5,20,5.92,7.4
32.4,8,17,6.06,7.74
23.6,1,2,10.51,3.52
18.5,10,9,7.01,7.66
30.9,4,21,5.18,7.3
21.5,4,6,11.74,4.94
36.8,3,8,2.22,4.6
37.1,3,16,5.65,5.46
36.3,4,10,1.46,5.72
25.4,1,6,9.14,4.45
18.3,2,23,11.1,3.97
36.6,9,13,4.08,8.48
26.6,10,18,10.44,10.33
37.3,2,3,4.21,4.53
37.3,5,5,11.02,7.07
35.1,9,9,9.29,7.8
23.9,9,6,9.85,7.69
25.7,8,12,1.2,6.1
35.0,1,13,11.59,5.16
24.3,1,3,8.99,4.2
21.4,9,7,4.35,6.16
29.1,8,4,10.12,7.69
36.7,10,0,4.1,8.32
31.9,9,3,10.6,8.6
29.4,7,2,2.24,5.18
19.9,3,8,8.74,4.32
30.3,3,7,6.95,5.78
37.8,2,0,2.06,4.07
20.8,5,5,3.66,4.58
28.4,3,8,1.14,3.79
35.5,6,6,6.16,7.35
32.8,2,3,4.31,4.88
31.9,3,12,7.58,5.63
32.0,5,16,4.27,5.14
25.2,1,1,4.3,3.4
23.9,1,4,9.18,4.27
34.2,10,11,1.53,7.2
34.2,9,20,10.93,10.16
35.3,7,7,10.37,8.61
36.3,1,5,8.35,4.72
28.2,8,7,7.53,7.94
28.0,3,17,10.82,5.99
34.0,8,2,3.04,7.05
31.0,5,21,1.87,7.07
32.0,1,11,3.63,3.03
33.9,7,2,9.74,7.71
35.8,5,21,1.38,7.8
24.8,6,5,7.41,6.32
25.5,6,1,11.95,6.96
19.9,8,22,10.41,9.64
29.6,9,11,6.74,7.55
18.7,2,1,1.7,2.42
27.3,9,5,10.15,8.13
28.9,10,16,7.59,8.52
23.7,9,2,2.26,5.58
29.8,10,1,2.03,7.38
18.6,10,22,11.01,10.13
18.7,7,19,8.36,7.83
34.5,1,7,10.12,5.53
25.2,7,21,10.67,9.18
20.5,10,11,7.29,8.42
28.4,5,3,6.69,5.39
33.4,6,4,5.73,6.78
22.3,10,12,4.49,6.63
30.5,7,14,5.78,5.9
19.7,5,22,9.51,6.42
19.0,7,15,7.62,6.28
28.6,9,9,10.82,8.37
